name,price,rating,image
Sharp Objects,Â£47.82,4,data/raw/images/4_star/sharp_objects.png
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,4,data/raw/images/4_star/the_dirty_little_secrets_of_getting_your_dream_job.png
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,4,data/raw/images/4_star/the_boys_in_the_boat_nine_americans_and_their_epi.png
Shakespeare's Sonnets,Â£20.66,4,data/raw/images/4_star/shakespeare's_sonnets.png
Wall and Piece,Â£44.18,4,data/raw/images/4_star/wall_and_piece.png
Behind Closed Doors,Â£52.22,4,data/raw/images/4_star/behind_closed_doors.png
Untitled Collection: Sabbath Poems 2014,Â£14.27,4,data/raw/images/4_star/untitled_collection_sabbath_poems_2014.png
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,4,"data/raw/images/4_star/unseen_city_the_majesty_of_pigeons,_the_discreet_.png"
This One Summer,Â£19.49,4,data/raw/images/4_star/this_one_summer.png
The Past Never Ends,Â£56.50,4,data/raw/images/4_star/the_past_never_ends.png
