name,price,rating,image
A Light in the Attic,Â£51.77,3,data/raw/images/3_star/a_light_in_the_attic.png
Tipping the Velvet,Â£53.74,1,data/raw/images/1_star/tipping_the_velvet.png
Soumission,Â£50.10,1,data/raw/images/1_star/soumission.png
Sharp Objects,Â£47.82,4,data/raw/images/4_star/sharp_objects.png
Sapiens: A Brief History of Humankind,Â£54.23,5,data/raw/images/5_star/sapiens_a_brief_history_of_humankind.png
The Requiem Red,Â£22.65,1,data/raw/images/1_star/the_requiem_red.png
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,4,data/raw/images/4_star/the_dirty_little_secrets_of_getting_your_dream_job.png
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,3,data/raw/images/3_star/the_coming_woman_a_novel_based_on_the_life_of_the.png
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,4,data/raw/images/4_star/the_boys_in_the_boat_nine_americans_and_their_epi.png
The Black Maria,Â£52.15,1,data/raw/images/1_star/the_black_maria.png
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,2,"data/raw/images/2_star/starving_hearts_(triangular_trade_trilogy,_#1).png"
Shakespeare's Sonnets,Â£20.66,4,data/raw/images/4_star/shakespeare's_sonnets.png
Set Me Free,Â£17.46,5,data/raw/images/5_star/set_me_free.png
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,5,data/raw/images/5_star/scott_pilgrim's_precious_little_life_(scott_pilgri.png
Rip it Up and Start Again,Â£35.02,5,data/raw/images/5_star/rip_it_up_and_start_again.png
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,3,data/raw/images/3_star/our_band_could_be_your_life_scenes_from_the_ameri.png
Olio,Â£23.88,1,data/raw/images/1_star/olio.png
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,1,data/raw/images/1_star/mesaerion_the_best_science_fiction_stories_1800-1.png
Libertarianism for Beginners,Â£51.33,2,data/raw/images/2_star/libertarianism_for_beginners.png
It's Only the Himalayas,Â£45.17,2,data/raw/images/2_star/it's_only_the_himalayas.png
In Her Wake,Â£12.84,1,data/raw/images/1_star/in_her_wake.png
How Music Works,Â£37.32,2,data/raw/images/2_star/how_music_works.png
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,3,"data/raw/images/3_star/foolproof_preserving_a_guide_to_small_batch_jams,.png"
Chase Me (Paris Nights #2),Â£25.27,5,data/raw/images/5_star/chase_me_(paris_nights_#2).png
Black Dust,Â£34.53,5,data/raw/images/5_star/black_dust.png
Birdsong: A Story in Pictures,Â£54.64,3,data/raw/images/3_star/birdsong_a_story_in_pictures.png
