meter_id,building_id,power_kw,voltage,current,status,timestamp
MTR1010,,6.43,9999,5.12,INACTIVE,2026-05-16 20:20:54
MTR1007,BLD208,14.86,110,15.87,ACTIVE,16/05/2026 20:10
MTR1002,BLD203,NAN,230,15.14,FAULT,16/05/2026 20:14
CORRUPT,,NOT_A_NUMBER,9999,NAN,UNKNOWN,NOT_A_DATE
CORRUPT,,NOT_A_NUMBER,9999,NAN,UNKNOWN,NOT_A_DATE
MTR1007,BLD200,NAN,,39.67,FAULT,INVALID_DATE
MTR1010,BLD203,3.2,110,13.1,INACTIVE,16/05/2026 20:38
MTR1002,BLD202,19.01,9999,34.87,FAULT,16/05/2026 18:46
MTR1006,BLD202,5.81,110,10.03,FAULT,16/05/2026 19:51
MTR1003,BLD206,-19.33,220,15.81,ACTIVE,2026-05-16 18:52:51
MTR1005,BLD200,15.79,,46.94,ACTIVE,INVALID_DATE
CORRUPT,,NOT_A_NUMBER,9999,NAN,UNKNOWN,NOT_A_DATE
MTR1000,BLD208,15.09,230,34.72,ACTIVE,2026-05-16 21:00:44
MTR1005,BLD210,17.27,,2.76,ACTIVE,2026-05-16 18:56:08
MTR1002,BLD209,NAN,110,2.87,INACTIVE,16/05/2026 20:45
MTR1007,BLD210,16.29,9999,44.86,ACTIVE,2026-05-16 21:08:46
MTR1002,BLD200,7.59,220,10.6,ACTIVE,16/05/2026 19:43
MTR1002,BLD200,7.59,220,10.6,ACTIVE,16/05/2026 19:43
MTR1007,BLD209,14.49,110,25.81,FAULT,16/05/2026 18:48
MTR1003,BLD202,1.88,220,31.0,ACTIVE,2026-05-16 18:29:04
MTR1000,BLD203,17.14,220,27.97,FAULT,2026-05-16 20:43:59
