name,description,model,posted_at,image_url,price,status,mileage,location,country
كرايسلر,"2004, كرايسلر, اخرى",2004.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/d0/51/d0518d29d29f04b53390af10be7c54fd18f94779ab88d7516df3bd0c9a537a7f.jpg.webp,575748.0,مستعمل,144999.5,"أخرى, صنعاء",Yemen
سامسونج,"2012, سامسونج, اخرى",2012.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/2d/9b/2d9b54e4e40912531e690641afb6960a960e1985b52156cb35f52d9585637660.jpg.webp,1300000.0,مستعمل,5499.5,"نقم, صنعاء",Yemen
هيونداي,"2010, هيونداي, فيرنا, Standard",2010.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/35/78/35789922ad9931fd559fdce5eea0cf1cca6b76b831e76c5076f393a0f1ab0dca.jpg.webp,1001300.0,مستعمل,74999.5,"السبعين, صنعاء",Yemen
بي ام دبليو,"2017, بي ام دبليو, الفئة 7, 740",2017.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/24/ca/24ca10ebfb8cd606a6c48c5971e011be9f378aae8d08231cc564240db5ac4dbc.jpg.webp,5006500.0,مستعمل,74999.5,"الاصبحي, صنعاء",Yemen
هيونداي,"2012, هيونداي, سوناتا, Limited",2012.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/d5/bf/d5bf7565c4cb64b736b6b89cbed266e7fb457a476e76651c15c9d1f09b502d99.jpg.webp,951235.0,مستعمل,200000.0,"الظهار, إب",Yemen
أودي,"2008, أودي, Q7, SQ7",2008.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/f3/1b/f31be037ef251d707c768d1a6d2cd8775cf57622fa405646958f9dbb47e3660f.jpg.webp,2002600.0,مستعمل,124999.5,"السبعين, صنعاء",Yemen
هيونداي,"2005, هيونداي, سنتافي, GLS Top",2005.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/3e/ce/3eceb794385f357eb8badd81d48ba177a727f9dcf4875e194cfef9e171b5b3e1.jpg.webp,600780.0,مستعمل,104999.5,"جولة آية, صنعاء",Yemen
تويوتا,"2003, تويوتا, كورولا, GLI",2003.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/01/31/013192fee0cd445300434ce5308573fede5f757d1609dcd68ce0209d92997703.jpg.webp,1540000.0,مستعمل,54999.5,"مدينة ذمار, ذمار",Yemen
هيونداي,"2015, هيونداي, توسان, Limited",2015.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/e5/b9/e5b923ac3e2229e30545b2c03f7312c5498a976c83e0457305fa2a1904fef11e.jpg.webp,2127763.0,مستعمل,94999.5,"سعوان, صنعاء",Yemen
هيونداي,"2011, هيونداي, سوناتا, Limited",2011.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/1c/79/1c79d2c6e7249763880148f766487a300c83996894905e3dde37acf8ecc6c1b3.jpg.webp,550715.0,مستعمل,200000.0,"مديرية التعزية, تعز",Yemen
تويوتا,"2007, تويوتا, هايس, LUX",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/dd/d1/ddd1301538e180c99520d95f6972405941ee17c09a9d0e4cd3228e1e94061a4f.jpg.webp,1126463.0,مستعمل,200000.0,"أخرى, تعز",Yemen
تويوتا,"2014, تويوتا, افالون, Limited",2014.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/b9/11/b911a22bfb067c6e5f116f89d73c11b1fa007f48a93ad485fcd7142c95206a63.jpg.webp,2628413.0,مستعمل,194999.5,"سعوان, صنعاء",Yemen
تويوتا,"2007, تويوتا, يارس, Basic",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/e5/6f/e56f6a838548ad8ba07590757f599029d295384777cc5754ca12b9364834cfd2.jpg.webp,1126463.0,مستعمل,124999.5,"السبعين, صنعاء",Yemen
تويوتا,"2006, تويوتا, بريوس, Prius",2006.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/ca/90/ca90da48ef469207114e463f6ef30b443171229a7012e1bba2883c0acf2e9ad6.jpg.webp,625813.0,مستعمل,104999.5,"شيخ عثمان, عدن",Yemen
تويوتا,"2016, تويوتا, هيلوكس, GLX",2016.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/05/53/0553a5090e598e0f1c1fd589191ae2e409456e0d60ef756721f3653fcca99c23.jpg.webp,75000000.0,مستعمل,84999.5,"شملان, صنعاء",Yemen
تويوتا,"1983, تويوتا, هيلوكس, DLX",1983.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/6c/f8/6cf8c89c5b2dc9e7e8ff84115b012cf1fa3fcfd098932c293e062ed7dc2854f9.jpg.webp,730064269.0,مستعمل,200000.0,"الحوك, الحديدة",Yemen
كيا,"2003, كيا, ريو, EX",2003.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/83/79/8379346b6c554addc06be11cb77fa8f6b38c29205a7d469a37b1a01a8d536305.jpg.webp,625813.0,مستعمل,84999.5,"أخرى, عدن",Yemen
هيونداي,"2022, هيونداي, توسان, Limited",2022.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/e7/6a/e76a1c89a4cd477a5ea3c4590ef14e2d45c55b7076277a3e252b10e579016db9.jpg.webp,4881338.0,مستعمل,44999.5,"حده, صنعاء",Yemen
هيونداي,"2014, هيونداي, النترا, GLS",2014.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/7f/94/7f946cd93bee01c6b3c36ba6ce96e22a56f8fef71d784dd9093baf1701ed07e0.jpg.webp,4505850.0,مستعمل,200000.0,"أخرى, المكلا",Yemen
هيونداي,"2007, هيونداي, سنتافي, GLS",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/7e/90/7e90c91d60594f2a02e0605bdbbc69c403e62fbd9fe063d73779182a9e9cbcc8.jpg.webp,1051115.0,مستعمل,184999.5,"نقم, صنعاء",Yemen
دايو,"2006, دايو, ماتيز",2006.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/df/91/df910018c66abc5d995cccc799a3aaad7708b8a1b736eb01d374876dee4eac6e.jpg.webp,850000.0,مستعمل,194999.5,"حي الحصبة الشمالية, صنعاء",Yemen
تويوتا,"2007, تويوتا, كورولا, AE86",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/a9/af/a9af16a83d207e5aa79b15932e38ce61b5624e47582640a2781f8f46b1f40810.jpg.webp,2000000.0,مستعمل,44999.5,"جولة آية, صنعاء",Yemen
هيونداي,"2011, هيونداي, سوناتا, Eco",2011.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/30/28/3028daa71d314894927c5d051786c2e1e82bc7e5531b9ca313ed89b35576bcb7.jpg.webp,851105.0,جديد,0.0,"شيخ عثمان, عدن",Yemen
