name,description,model,posted_at,image_url,price,status,mileage,location,country
سامسونج,"2012, سامسونج, اخرى",2012.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/2d/9b/2d9b54e4e40912531e690641afb6960a960e1985b52156cb35f52d9585637660.jpg.webp,"1,300,000 ريال",مستعمل,5499.5,"نقم, صنعاء",Yemen
بي ام دبليو,"2011, بي ام دبليو, الفئة X6, X6 xDrive40i",2011.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/f5/e3/f5e383814f25d4b746599a69aad9f6b054de5e73546b80aabb4b58d3e356d807.jpg.webp,"2,378,088 ريال",مستعمل,184999.5,"الاصبحي, صنعاء",Yemen
,2006,2006.0,الآن,https://opensooq-images.os-cdn.com/previews/640x480/98/e7/98e78e56e5f03c22a7ed01da60aa9de1003ea8340e013039b8647f9ae6cf9272.jpg.webp,"3,500,000 ريال",,,"أخرى, البيضاء",Yemen
شيفروليه,"2016, شيفروليه, سبارك, LT",2016.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/68/69/68697c46bbbe7b8a930c29b7a562e60094cce2da4019e94af15bfeba759f915a.jpg.webp,"1,101,430 ريال",مستعمل,64999.5,"الحالي, الحديدة",Yemen
,نفاخ هواء هونداي كيا وكاله جديد,,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/6e/8d/6e8d0b718485ac94e064ec3339e900661dfa28b039d3daafa225cd4e1c1fd940.jpg.webp,"14,000 ريال",جديد,,"الحالي, الحديدة",Yemen
تويوتا,"2013, تويوتا, كورولا, XLE",2013.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/29/1c/291cdd3e5325df49de73e55a117281fecc1e1408c88a132fda71697adcf0b863.jpg.webp,"18,874,256 ريال",جديد,0.0,"السبعين, صنعاء",Yemen
,خزان غاز مركزي سعة 110الف لتر,,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/bd/c5/bdc501fb3779d5cb1a64a0ae432ccf68d6f4bee6095afc81eaedb900c0ab7690.jpg.webp,"27,536 ريال",مستعمل,,"جدر, صنعاء",Yemen
كيا,"2009, كيا, مورنينج, Standard",2009.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/c4/fc/c4fcd1a4fd7a156499947002483061eea7b483d505c17dbfdd33b7edf7939757.jpg.webp,"500,650 ريال",مستعمل,200000.0,"السبعين, صنعاء",Yemen
تويوتا,"2007, تويوتا, تاكوما, TRD Pro",2007.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/21/fd/21fd58ba15854682de4a3a69846bfa84ca97ff1d4f45aff03199f87a96dbe986.jpg.webp,"1,877,438 ريال",مستعمل,134999.5,"أخرى, عدن",Yemen
هيونداي,"2005, هيونداي, النترا, GL",2005.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/7d/2f/7d2f127e19c5c49e4b20e22a11969a93ea57220058b3188428a7fb7fa7a8d3a4.jpg.webp,"600,000 ريال",مستعمل,154999.5,"السبعين, صنعاء",Yemen
,2000,2000.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/5d/f9/5df95fb43c1b03b3d3776dd16f5a146df9051e182a940bb549e588410d1e280f.jpg.webp,"120,000 ريال",مستعمل,,"العناد, لحج",Yemen
,2010,2010.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/e8/1d/e81d015cfb57c57473efdd31f41118a283aebc7a377cb6ac863877a84330f691.jpg.webp,"25,000,000 ريال",مستعمل,,"الحالي, الحديدة",Yemen
هيونداي,"2021, هيونداي, توسان, Limited",2021.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/9f/48/9f483fce1896560069469c7184fef85ab2c205f465e65257967beab23b4ab75f.jpg.webp,"2,453,185 ريال",مستعمل,34999.5,"الاصبحي, صنعاء",Yemen
هيونداي,"2003, هيونداي, اخرى",2003.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/c4/bc/c4bcdf0d710918b21bca3ff0b6711c8fe05dcfc630aa0131b5de0b08a23bf2bf.jpg.webp,"1,001,300 ريال",مستعمل,200000.0,"شعوب, صنعاء",Yemen
كيا,"2012, كيا, سول, Standard",2012.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/ae/bd/aebd466ae11dc8a43aac69681afe184194620316e86ae7da780566fc81221c57.jpg.webp,"1,076,398 ريال",جديد,0.0,"مديرية الوحدة, صنعاء",Yemen
مرسيدس بنز,"2013, مرسيدس بنز, الفئة-C, C 250",2013.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/bc/ab/bcab5235e29164ae28f13e53498ec3509f093ea31d1a80e0745170ca4b131a55.jpg.webp,"2,177,828 ريال",مستعمل,104999.5,"شارع هايل, صنعاء",Yemen
هيونداي,"2015, هيونداي, توسان, GLS",2015.0,2026-04-22,https://opensooq-images.os-cdn.com/previews/640x480/c3/90/c39018a73b5b4746256a6a9acb0e9264600143411803c3ee4052766e9d106d45.jpg.webp,"2,127,763 ريال",مستعمل,104999.5,"بيت العفيف, صنعاء",Yemen
