transaction_id,customer_id,product_id,quantity,unit_price,total_amount,currency,payment_method,status,timestamp,location
B9050EC8,CUST-4920,PROD-664,N/A,843.52,0,JPY,CASH,,2026-05-09 04:23:30,London
10226A60,CUST-1121,PROD-288,N/A,597.52,0,NONE,CREDIT_CARD,REFUNDED,2026-05-09T04:45:31.501983,New York
1030,CUST-2409,PROD-302,31,234.51,7269.81,JPY,DEBIT_CARD,REFUNDED,2026-05-09T04:23:18.501983,New York
CA05043B,,PROD-341,N/A,165.13,0,NONE,,PENDING,2026-05-09T04:03:18.501983,London
D02AC7BD,CUST-8473,PROD-394,N/A,817.36,0,JPY,CREDIT_CARD,,2026-05-09 04:26:02,New York
1030,CUST-6061,PROD-787,9,888.6,7997.4,USD,CREDIT_CARD,REFUNDED,2026-05-09 04:19:25,
77A8C03A,CUST-8535,PROD-948,N/A,441.25,0,???,PAYPAL,REFUNDED,2026-05-09T04:15:24.501983,Dubai
BE0262FE,CUST-9412,PROD-174,10,318.11,3181.1,,PAYPAL,COMPLETED,2026-05-09T04:41:42.501983,London
381BF9A2,CUST-9457,PROD-819,N/A,,0,NONE,CASH,FAILED,2026-05-09T04:38:57.501983,Tokyo
CB290669,CUST-9677,PROD-724,22,211.17,4645.74,,CREDIT_CARD,,2026-05-09T04:16:30.501983,Dubai
BF04853F,,PROD-845,47,197.1,9263.7,USD,,FAILED,2026-05-09T04:16:49.501983,New York
B6D6EC24,CUST-4904,PROD-286,47,395.42,18584.74,NONE,PAYPAL,REFUNDED,2026-05-09T04:52:53.502508,London
06301191,CUST-4804,PROD-625,N/A,930.07,0,???,CREDIT_CARD,FAILED,2026-05-09 04:15:37,New York
1446C3D3,,PROD-992,45,601.31,27058.95,,,REFUNDED,05/09/2026 04:24:29 AM,Tokyo
F9079674,CUST-2536,PROD-720,N/A,609.19,0,JPY,PAYPAL,COMPLETED,2026-05-09 04:51:45,Dubai
0713ABDF,CUST-2656,PROD-117,N/A,896.66,0,NONE,CASH,COMPLETED,2026-05-09 04:07:04,Dubai
474EBB12,CUST-4654,PROD-867,10,151.26,1512.6,,CREDIT_CARD,REFUNDED,2026-05-09 04:47:17,New York
6E537CC8,CUST-1667,PROD-232,24,65.03,1560.72,???,CREDIT_CARD,COMPLETED,05/09/2026 04:01:24 AM,New York
09AB2DDF,CUST-6325,PROD-332,1,183.15,183.15,JPY,DEBIT_CARD,PENDING,2026-05-09 04:48:16,London
7E20756D,,PROD-439,N/A,281.4,0,GBP,CASH,FAILED,2026-05-09 04:27:07,New York
4372D348,CUST-7815,PROD-429,8,881.32,7050.56,JPY,CREDIT_CARD,,05/09/2026 04:43:29 AM,
BB66EF50,CUST-7300,PROD-515,N/A,336.24,0,???,DEBIT_CARD,,2026-05-09 04:50:18,London
F4C94284,CUST-8786,PROD-846,N/A,278.47,0,,PAYPAL,PENDING,2026-05-09 04:52:41,Tokyo
53E9CBCE,CUST-1021,PROD-807,N/A,459.05,0,EUR,CASH,PENDING,05/09/2026 04:25:38 AM,New York
