transaction_id|customer_id|product_id|quantity|unit_price|total_amount|currency|payment_method|status|timestamp|location
1018|CUST-9773|PROD-572|4|879.87|3519.48||PAYPAL|PENDING|2026-05-09T04:17:59.850640|London
19B3F3ED|CUST-8278|PROD-732|45|448.54|20184.3|NONE|PAYPAL||2026-05-09 04:45:56|Dubai
1009|CUST-5682|PROD-305|48|870.0|41760.0|EUR|CREDIT_CARD|REFUNDED|05/09/2026 04:34:43 AM|New York
A2EE31C2|CUST-7613|PROD-764|N/A|290.16|0|???|DEBIT_CARD|REFUNDED|2026-05-09 04:03:09|London
B9EC6F48|CUST-5790|PROD-519|N/A||0||CREDIT_CARD|COMPLETED|2026-05-09 04:39:30|New York
2CA291A6|CUST-7146|PROD-214|30|629.04|18871.2|USD|DEBIT_CARD|COMPLETED|2026-05-09 04:19:23|New York
EC85B73E|CUST-2213|PROD-694|N/A|422.31|0|JPY|DEBIT_CARD|REFUNDED|2026-05-09 05:01:28|Tokyo
E73528C2|CUST-3670|PROD-115|N/A|351.42|0|EUR|PAYPAL||2026-05-09T04:55:17.850640|
2DD1038E|CUST-6526|PROD-643|38|683.23|25962.74||PAYPAL|REFUNDED|2026-05-09 04:37:37|Tokyo
E4C92FD3|CUST-3734|PROD-241|N/A|730.13|0|EUR|CASH|COMPLETED|05/09/2026 04:16:36 AM|Tokyo
2461CD0B|CUST-9058|PROD-209|N/A|576.36|0|JPY|DEBIT_CARD|COMPLETED|05/09/2026 05:01:01 AM|Dubai
679F9548|CUST-1117|PROD-853|N/A|963.91|0||CREDIT_CARD|REFUNDED|05/09/2026 05:02:27 AM|Dubai
B7BF7834|CUST-2799|PROD-462|N/A|326.02|0|???|PAYPAL|PENDING|05/09/2026 04:17:56 AM|London
1026|CUST-2704|PROD-621|13|513.59|6676.67|EUR|CASH|COMPLETED|05/09/2026 04:55:48 AM|London
019770AA|CUST-8798|PROD-752|N/A|108.24|0|GBP|DEBIT_CARD|PENDING|2026-05-09T04:48:04.851177|New York
BDC64B7C|CUST-2015|PROD-134|5|744.71|3723.55|JPY|CASH|COMPLETED|2026-05-09T04:45:06.851177|New York
F29484FA|CUST-9311|PROD-237|N/A|369.53|0|GBP|CASH||05/09/2026 04:47:25 AM|Tokyo
A88C92AA|CUST-8679|PROD-442|N/A|853.28|0|||REFUNDED|2026-05-09 04:20:33|Dubai
C2EE8BC4|CUST-2280|PROD-926|N/A|936.58|0|GBP|DEBIT_CARD|PENDING|2026-05-09T04:59:52.851177|London
41BC2BD8|CUST-6988|PROD-841|4|194.09|776.36|EUR|CREDIT_CARD|REFUNDED|05/09/2026 04:42:31 AM|Tokyo
B7B9A775|CUST-6313|PROD-185|5|324.96|1624.8|GBP|CASH|FAILED|2026-05-09 04:23:50|London
02AF3D59|CUST-7380|PROD-791|24|818.72|19649.28|EUR|PAYPAL|REFUNDED|05/09/2026 04:52:26 AM|Tokyo
E53CC278||PROD-417|42|750.11|31504.62|USD|DEBIT_CARD|COMPLETED|05/09/2026 05:00:03 AM|New York
795DD207|CUST-1525|PROD-136|N/A|431.95|0|JPY|DEBIT_CARD|COMPLETED|2026-05-09T04:15:08.851177|Tokyo
B300CA2C|CUST-8232|PROD-150|N/A||0|GBP|||2026-05-09 04:14:12|
1014|CUST-8850|PROD-732|37|540.21|19987.77|JPY|CREDIT_CARD|PENDING|05/09/2026 04:40:28 AM|Tokyo
C017F560|CUST-3896|PROD-523|10|902.95|9029.5|???|PAYPAL|REFUNDED|2026-05-09T04:34:13.851177|Tokyo
1023|CUST-7028|PROD-165|24|726.36|17432.64|EUR||COMPLETED|2026-05-09T04:23:11.851177|Dubai
8AC500E7|CUST-6386|PROD-237|42|960.0|40320.0|NONE|CREDIT_CARD||05/09/2026 04:39:19 AM|Tokyo
1038||PROD-800|6|998.8|5992.8|USD|CASH|PENDING|2026-05-09 04:50:54|Dubai
1037||PROD-341|N/A|656.85|0|GBP|CASH|COMPLETED|2026-05-09 04:18:33|
CD772A85||PROD-317|7|219.42|1535.94|NONE|DEBIT_CARD|REFUNDED|05/09/2026 04:09:08 AM|Dubai
1ABE69AD|CUST-1101|PROD-132|10|989.55|9895.5|NONE|PAYPAL||05/09/2026 05:00:42 AM|London
DCBB5CCE|CUST-9905|PROD-812|N/A|968.54|0|USD|DEBIT_CARD||2026-05-09 04:33:47|London
0289614F|CUST-4454|PROD-634|N/A|456.07|0|???|DEBIT_CARD|COMPLETED|05/09/2026 04:21:16 AM|Tokyo
1043|CUST-1492|PROD-398|N/A|22.33|0||DEBIT_CARD|PENDING|2026-05-09 04:56:56|Tokyo
CD678500|CUST-3404|PROD-706|7|182.14|1274.98|NONE|CASH|REFUNDED|05/09/2026 04:49:49 AM|Dubai
38F3E122|CUST-9451|PROD-491|N/A|854.64|0||PAYPAL|COMPLETED|2026-05-09 04:03:20|Dubai
1CFE9007|CUST-3681|PROD-874|21|268.43|5637.03||PAYPAL||05/09/2026 04:36:26 AM|London
