transaction_id|customer_id|product_id|quantity|unit_price|total_amount|currency|payment_method|status|timestamp|location
02F996F8||PROD-607|7|658.05|4606.35|NONE|CREDIT_CARD|FAILED|2026-05-09 04:59:35|New York
EEBDC402|CUST-8445|PROD-511|12|274.79|3297.48||CREDIT_CARD|REFUNDED|2026-05-09 04:34:01|Tokyo
850614BA|CUST-2212|PROD-358|31|178.27|5526.37|EUR|CASH|REFUNDED|05/09/2026 05:02:53 AM|Tokyo
8DA0CF35||PROD-489|N/A||0|EUR|CREDIT_CARD||2026-05-09 04:59:49|New York
5E9D66F4|CUST-1852|PROD-951|25|215.79|5394.75|EUR|CASH|COMPLETED|05/09/2026 04:07:07 AM|Tokyo
1026|CUST-3520|PROD-921|N/A||0|EUR||FAILED|2026-05-09 04:16:34|Dubai
DC9E0BD8|CUST-5981|PROD-294|18|570.76|10273.68||CASH|FAILED|2026-05-09 04:56:14|Tokyo
1022|CUST-8656|PROD-712|3||0||PAYPAL||05/09/2026 04:42:23 AM|Tokyo
243C6A0F|CUST-4466|PROD-844|47|605.81|28473.07|EUR|PAYPAL|FAILED|2026-05-09 04:11:44|New York
48F721CE|CUST-7283|PROD-312|N/A|746.51|0|JPY|CREDIT_CARD|PENDING|2026-05-09 04:47:10|London
A723E0F5|CUST-4036|PROD-374|28|509.06|14253.68|JPY|DEBIT_CARD|COMPLETED|05/09/2026 04:52:09 AM|Dubai
1019|CUST-6268|PROD-733|16|297.03|4752.48|EUR|DEBIT_CARD|PENDING|05/09/2026 04:26:17 AM|New York
2A4CA553|CUST-8199|PROD-322|N/A|344.9|0||CASH|FAILED|2026-05-09 04:36:09|Tokyo
19D39218|CUST-8095|PROD-361|45|380.45|17120.25||CASH|COMPLETED|05/09/2026 04:51:44 AM|Tokyo
85335EAD|CUST-2613|PROD-859|N/A|28.85|0|???|DEBIT_CARD||2026-05-09 04:28:07|Dubai
8B92292B|CUST-6823|PROD-943|N/A|437.27|0|NONE|DEBIT_CARD|FAILED|2026-05-09 04:47:03|Tokyo
302F1711|CUST-7554|PROD-972|10|79.66|796.6|EUR|DEBIT_CARD|PENDING|2026-05-09 04:45:29|Tokyo
70D4C630|CUST-6884|PROD-610|29||0|NONE|DEBIT_CARD||2026-05-09T04:20:14.104865|
6537B993|CUST-2055|PROD-781|N/A|153.71|0||CREDIT_CARD|PENDING|2026-05-09 05:04:09|New York
009E7C26|CUST-6075|PROD-294|19|68.57|1302.83|???|PAYPAL|PENDING|2026-05-09T04:39:13.104865|London
6E351DBC|CUST-5022|PROD-809|N/A|950.5|0||PAYPAL|PENDING|2026-05-09T04:23:28.104865|Tokyo
59C7E123|CUST-3371|PROD-631|26|377.05|9803.3||CREDIT_CARD||2026-05-09T04:37:39.104865|New York
CD099686|CUST-6146|PROD-695|7|29.32|205.24||DEBIT_CARD|PENDING|05/09/2026 04:33:05 AM|Tokyo
7008D663|CUST-1789|PROD-855|34|884.59|30076.06|NONE||PENDING|2026-05-09 04:32:31|Tokyo
7343C459|CUST-8757|PROD-168|34|309.93|10537.62||DEBIT_CARD|FAILED|05/09/2026 04:11:54 AM|Dubai
789D691E|CUST-9259|PROD-976|8||0||PAYPAL|FAILED|05/09/2026 04:44:18 AM|London
1008|CUST-1554|PROD-761|44|861.97|37926.68|GBP|PAYPAL||05/09/2026 04:22:16 AM|New York
983E1EB0|CUST-2079|PROD-479|N/A|558.69|0||DEBIT_CARD|FAILED|05/09/2026 04:53:33 AM|Tokyo
8948DA50|CUST-6754|PROD-227|12|62.39|748.68|NONE|DEBIT_CARD|REFUNDED|05/09/2026 04:32:21 AM|London
A6878E7E||PROD-189|1|575.77|575.77||PAYPAL||2026-05-09T04:04:19.104865|London
86D72927|CUST-3980|PROD-285|N/A|996.05|0|NONE|CREDIT_CARD|REFUNDED|2026-05-09 04:25:50|New York
DA0B0800|CUST-9456|PROD-441|N/A|456.91|0|???|CASH||05/09/2026 04:05:59 AM|London
