transaction_id,customer_id,product_id,quantity,unit_price,total_amount,currency,payment_method,status,timestamp,location
A335A286,CUST-5244,PROD-831,20,,0,JPY,CREDIT_CARD,PENDING,2026-05-09 04:17:32,Dubai
2032BD7B,CUST-4280,PROD-353,26,714.27,18571.02,???,CASH,FAILED,2026-05-09T04:46:46.120977,Tokyo
1019,CUST-9554,PROD-891,43,267.12,11486.16,GBP,,PENDING,05/09/2026 04:16:21 AM,Dubai
3C6F301D,CUST-4661,PROD-880,N/A,844.63,0,JPY,DEBIT_CARD,REFUNDED,2026-05-09T04:16:32.120977,New York
FD1AEC38,CUST-3408,PROD-260,24,251.85,6044.4,USD,CASH,REFUNDED,2026-05-09 05:00:58,Tokyo
3ECDF7EB,CUST-9745,PROD-102,N/A,224.32,0,EUR,CASH,FAILED,2026-05-09 04:26:26,Dubai
25016A12,CUST-8322,PROD-825,1,577.84,577.84,GBP,CREDIT_CARD,COMPLETED,2026-05-09 05:00:43,London
4871CA7A,CUST-1156,PROD-453,N/A,944.68,0,USD,CREDIT_CARD,COMPLETED,2026-05-09T04:53:09.120977,London
7827D6AD,CUST-1347,PROD-315,36,,0,???,PAYPAL,COMPLETED,2026-05-09 04:54:17,London
6637F838,CUST-3231,PROD-105,47,577.33,27134.51,USD,DEBIT_CARD,,05/09/2026 04:10:07 AM,Tokyo
87736A29,CUST-2879,PROD-690,7,772.97,5410.79,,PAYPAL,,2026-05-09 04:10:09,Tokyo
FC7A56B0,CUST-5524,PROD-179,25,24.47,611.75,JPY,PAYPAL,FAILED,05/09/2026 04:52:56 AM,London
B140694D,CUST-3782,PROD-468,3,,0,JPY,CASH,COMPLETED,05/09/2026 05:04:42 AM,London
B2EDB230,CUST-9607,PROD-185,N/A,600.28,0,???,PAYPAL,,2026-05-09T05:05:46.120977,Dubai
19FAA478,CUST-3127,PROD-513,50,527.94,26397.0,GBP,CASH,REFUNDED,2026-05-09 04:32:16,Dubai
774A6C92,CUST-3784,PROD-801,N/A,719.89,0,GBP,DEBIT_CARD,COMPLETED,2026-05-09T04:48:33.120977,Dubai
F12D22F9,CUST-1943,PROD-482,N/A,577.66,0,USD,PAYPAL,COMPLETED,2026-05-09 04:10:48,Tokyo
1031,CUST-3671,PROD-723,27,146.26,3949.02,GBP,CREDIT_CARD,PENDING,2026-05-09T04:27:13.120977,London
0863365F,CUST-2589,PROD-155,N/A,42.62,0,,,FAILED,2026-05-09T04:17:34.120977,Tokyo
84FB986F,CUST-4175,PROD-115,N/A,325.19,0,USD,CREDIT_CARD,PENDING,05/09/2026 04:24:40 AM,Tokyo
EE70A9D4,CUST-8059,PROD-507,N/A,671.37,0,,,FAILED,05/09/2026 04:26:09 AM,
B9496A12,CUST-9245,PROD-282,N/A,319.96,0,JPY,PAYPAL,COMPLETED,05/09/2026 04:44:23 AM,Tokyo
B53FB04C,,PROD-345,N/A,946.62,0,,DEBIT_CARD,,05/09/2026 04:48:51 AM,New York
263F9F64,CUST-3901,PROD-713,N/A,753.94,0,,PAYPAL,FAILED,2026-05-09 04:23:38,
8C916473,CUST-6685,PROD-451,N/A,656.43,0,EUR,DEBIT_CARD,,2026-05-09T04:14:35.120977,New York
1012,CUST-6938,PROD-799,N/A,955.47,0,USD,CREDIT_CARD,,2026-05-09 04:41:10,New York
872564B0,CUST-6636,PROD-260,N/A,188.89,0,GBP,DEBIT_CARD,REFUNDED,05/09/2026 04:16:56 AM,
748E3E2D,CUST-9194,PROD-742,N/A,837.11,0,GBP,CASH,COMPLETED,05/09/2026 04:24:10 AM,New York
38DA31F9,CUST-3297,PROD-935,10,757.13,7571.3,,CASH,PENDING,05/09/2026 04:43:17 AM,London
D7F8E735,CUST-5585,PROD-262,16,187.44,2999.04,,CREDIT_CARD,PENDING,2026-05-09 04:11:56,Tokyo
7CA9BCB7,CUST-7449,PROD-209,15,983.73,14755.95,NONE,,FAILED,2026-05-09 04:54:09,New York
CA5B2F92,,PROD-773,N/A,70.52,0,,CREDIT_CARD,REFUNDED,05/09/2026 04:46:39 AM,London
59A1A6FD,CUST-8544,PROD-690,N/A,349.66,0,JPY,PAYPAL,REFUNDED,2026-05-09 04:40:04,
A8134F27,CUST-8322,PROD-375,30,,0,,CASH,REFUNDED,05/09/2026 04:39:44 AM,Tokyo
11A6DE59,CUST-2104,PROD-154,N/A,105.65,0,NONE,PAYPAL,FAILED,2026-05-09 04:42:07,Tokyo
75B30EAB,CUST-5554,PROD-661,33,285.06,9406.98,EUR,,FAILED,2026-05-09T04:50:29.121977,London
A3C84879,CUST-5988,PROD-355,N/A,221.39,0,???,,REFUNDED,05/09/2026 04:08:18 AM,Tokyo
61F2D433,CUST-5828,PROD-876,29,292.87,8493.23,NONE,CASH,,2026-05-09 04:31:16,London
C1CD512A,CUST-3857,PROD-275,N/A,503.76,0,GBP,DEBIT_CARD,,2026-05-09 04:57:09,Dubai
DDB5A019,CUST-7927,PROD-687,49,244.65,11987.85,EUR,CREDIT_CARD,FAILED,2026-05-09 04:47:53,
1050,CUST-4903,PROD-465,36,822.66,29615.76,,PAYPAL,PENDING,2026-05-09T04:28:06.121977,Tokyo
DBD5FF09,CUST-4913,PROD-811,N/A,102.03,0,,PAYPAL,,2026-05-09 04:30:48,New York
07A5E4D4,,PROD-770,28,54.61,1529.08,JPY,PAYPAL,,2026-05-09T05:06:14.121977,Dubai
2F15AD2F,CUST-3914,PROD-774,N/A,412.22,0,???,CREDIT_CARD,PENDING,2026-05-09 04:41:58,New York
1A15A3C4,CUST-9076,PROD-586,33,260.6,8599.8,,PAYPAL,REFUNDED,05/09/2026 04:54:49 AM,Dubai
A423AB11,CUST-7063,PROD-642,45,337.95,15207.75,NONE,CASH,REFUNDED,05/09/2026 04:57:10 AM,Tokyo
A86AAC0C,,PROD-708,N/A,800.26,0,NONE,CASH,FAILED,05/09/2026 04:07:58 AM,New York
C33012BF,CUST-7531,PROD-226,49,114.99,5634.51,GBP,DEBIT_CARD,COMPLETED,2026-05-09T04:17:02.123255,Dubai
9B81A8AD,CUST-1453,PROD-541,10,322.11,3221.1,JPY,CREDIT_CARD,,05/09/2026 04:30:51 AM,Dubai
7AE387A6,CUST-7336,PROD-661,N/A,359.29,0,???,CASH,,2026-05-09T04:41:57.123255,Tokyo
B8F76A79,CUST-6818,PROD-361,N/A,,0,GBP,CASH,COMPLETED,2026-05-09 04:40:51,Tokyo
