meter_id,building_id,power_kw,voltage,current,status,timestamp
MTR1002,BLD201,9.57,,20.5,FAULT,2026-05-16 19:11:59
MTR1010,BLD205,7.62,,46.33,INACTIVE,2026-05-16 20:49:32
MTR1003,BLD203,13.66,110,14.95,FAULT,2026-05-16 20:22:04
MTR1008,,13.78,9999,INF,INACTIVE,2026-05-16 19:59:44
MTR1008,BLD207,5.95,220,45.4,FAULT,2026-05-16 20:46:08
MTR1002,BLD200,12.74,,27.61,INACTIVE,05-16-2026 19:44
MTR1004,BLD202,18.76,230,25.7,FAULT,2026-05-16 19:19:38
MTR1009,BLD203,10.76,110,38.26,ACTIVE,05-16-2026 20:57
MTR1006,BLD202,-18.26,230,8.9,INACTIVE,16/05/2026 20:59
MTR1004,BLD206,14.35,220,40.74,INACTIVE,16/05/2026 18:31
MTR1005,BLD208,-17.03,110,35.54,INACTIVE,16/05/2026 18:26
MTR1002,BLD205,9.33,230,20.39,ACTIVE,16/05/2026 18:41
MTR1010,BLD203,13.99,110,2.41,FAULT,2026-05-16 19:15:11
MTR1000,,-3.99,220,12.82,FAULT,16/05/2026 20:44
MTR1001,BLD206,-11.52,220,16.21,ACTIVE,2026-05-16 19:31:09
MTR1003,BLD201,19.05,220,40.28,ACTIVE,16/05/2026 18:47
MTR1006,BLD205,-16.28,230,29.96,FAULT,2026-05-16 18:48:49
MTR1008,BLD203,9.3,220,36.81,ACTIVE,05-16-2026 20:01
CORRUPT,,NOT_A_NUMBER,9999,NAN,UNKNOWN,NOT_A_DATE
MTR1009,BLD200,3.34,,41.22,FAULT,16/05/2026 19:26
